text,emotion,source,confidence
HIT 갤러리 업데이트 중지 안내 안녕하세요  디시인사이드입니다 디시인사이드는 2023년 10월 6일부터 힛갤러리 업데이트를 중지하기로 하였습니다  그동안 힛갤러리를 이용해 주신 이용자 여러분들께 진심으로 감사드립니다 힛갤러리가 사라지는 것은 아니며  업데이트만 되지 않을 뿐 힛갤러리 열람은 계속 가능합니다  더불어 기존에 힛갤러리 등록자에게 지급되던 배지와 갤러콘  배지 7개 수집 시 제공되던 기념품 또한 중단됩니다 다만 1년 내 갤러리 활동이 있고  배지를 4개 이상 모은 이용자분들께는 소정의 기념품을 드리려고 합니다 대상이 되는 아래 닉네임 식별코드 의 이용자분께서는 기념품을 받을 이름과 주소  연락처를 정확히 기재하셔서 기한 내에 contents dcinside com으로 신청을 해주시면 됩니다  1  개인 정보   이름  신분증사본 이름만 노출  나머지는 가려주세요   주소  연락처2  디시인사이드 식별코드와 닉네임3   기념품 수령을 위한 개인 정보 수집  이용에 동의합니,분노,dcinside,0.6
"힛갤 기념품 변경 안내 - 갤로그 배지, 갤러콘 안녕하세요  디시인사이드입니다   2021년 6월 14일부터  힛갤에 등록된 힛갤러 분들께는 기존에 배송됐던 기념품 대신 온라인에서 사용하는 갤로그 배지와 힛갤 갤러콘을 드립니다  1  갤로그 배지 갤로그 배지는 힛갤 등록 시점에 본인의 갤로그에 자동 노출되며  동일한 아이디로 등록한 힛갤에 한해서 개수가 집계됩니다  다른 아이디로 등록 시 당첨 횟수가 달라질 수 있으므로 꼭  한 개의 아이디로 등록해 주세요  또한 본인의 요청으로 힛갤이 삭제될 경우 해당 게시물로 받으신 갤로그 배지는 무효가 되며  상품을 받을 수 있는 7개 집계 수량에서 제외됩니다  이전과 같이 배지 7개가 되면 소정의 기념품 또는 상품권이 지급됩니다  상품은 배지 7개 완료시 운영자의 확인을 거친후 자동 지급되며  본인의 방명록을 통해 지급 완료 및 사용 방법에 대해 안내해 드립니다  참고로 기존에 받으셨던 기념품은 동일 아이디에 한하여 갤로그 배지에 합산됩니다 ",분노,dcinside,0.6
힛갤에 등록된 게시물은 방송에 함께 노출될 수 있습니다. 안녕하세요 디시인사이드입니다 힛갤에 등록된 게시물은 방송 등에 노출될 수 있습니다 감사합니다,중립,dcinside,0.6
메피스토펠레스 완성 + 제작 과정 이 글은 제작 과정을 위주로 담았으니 전체적인 외관 모습은 이 글을 참고 https   m dcinside com board lobotomycorporation 1643440  창작 정보대회  메피스토펠레스 만들어 봄   로보토미 코퍼레이션 마이너 갤러리림버스 컴퍼니의 버스  메피스토펠레스를 만들었음사실 내부가 미완성이지만 올려도 된대서 올려봄내부까지 완성 다 하면 제작 과정까지 해서 올려보겠음전체샷재료는 포맥스  아크릴 등을 사용했고 겉부분에 코팅한 종이를 잘라서 m dcinside com드디어 림버스 컴퍼니의 버스  메피스토펠레스를 완성했음 재료는 포맥스  아크릴  등등 이건 저번 글에선 미완이라 보여주지 못한 내부 모습 바닥에 순접 자국 남은 게 아쉽다 이쪽은 운전석 토끼 인형을 따로 인쇄해서 마지막에 붙였는데 처음부터 같이 만들 걸 그랬다    구석에 붙이기 힘들었음 이건 제작에 사용했던 참고자료랑 리소스들임 메피스토펠레스가 일러스트마다 세부,혐오,dcinside,0.6
야쿠르트 아줌마의 비밀병기 시리즈  단편   트랜스 파머  고라니의 서막  스압  이전 단편을 먼저 보고 보시면 좋습니다 끝 변신 합체 전 모음 변신 합체 후 모음 제작기간 약 두달 단편 촬영기간 6일 기존에 제작한 야쿠르트 아줌마 프레시 매니저  에다가 헐크버스터를 모티브로 추가 파츠를 합체시키는 작품을 만들어 봤습니다 이번 단편에서 미사일이나 주먹 맞대는 등의 연출은 또 처음 시도해보는거였는데 생각한 만큼 나오진 않아 아쉬움이 남긴 하네요 이번 작품은 좀 특별하게 에치와이 한국야쿠르트 와 협업하여 만들게 된 작품입니다 여러분의 많은 관심 덕분에 이런 경험도 해보게 됐습니다 정말 감사합니다 본래 제작을 한달에서 한달 반 정도 생각했던 작품이였으나   먹는 제품을 활용하고  다루기 어려워하는 곡선 위주라서 생각보다 시간을 많이 잡아먹었네요 한달에 한 작품 정도로 연말까지 생각한 계획이 있었는데 두녀석 정도 생략될듯 합니다 최대한 빠르게 다음 작품 들고올 수 있도록 노력해보겠습니다 봐,혐오,dcinside,0.6
"첫 해외 여행, 일본 갔다온 망가 시리즈  싸돌아다니기 시리즈   진짜 뒤지게 늦은 서울코믹월드 후기 망가   적당히 늦은 코스프레 축제 후기 망가   예비군 갔다가 만화축제 가서 멜로디언 부는 망가   모르는 아저씨와 크리스마스에 서울코믹월드 가는 망가 출처  카툰 연재 갤러리  원본 보기",분노,dcinside,0.6
"그 시절, 우리가 사랑했던 디시인사이드...manhwa 꼭 노래와 함께 들어주세요     추억팔이 밤샘      출처  카툰 연재 갤러리  원본 보기",기쁨,dcinside,0.6
7년간 존버한 수제 커피만들기.coffee 오늘은 직접 집에서 커피를 만들어보겠습니다 제작기간은 총 7년 걸렸습니다 먼저 쿠팡에서 커피 묘목을 구매합니다 커여운 묘목들입니다 제가 다 키우긴 귀찮아서 하나 빼고 다 지인들에게 줘버렸습니다3년동안 키운 묘목입니다졸라 안큽니다 5년동안 키운 묘목알고보니 실내에서 기르니 햇빛을 많이 못받아 졸라 작았던것이었습니다양지바른곳으로 옮긴뒤 폭풍성장꽃도나고열매도 달렸습니다 진작 볕 잘드는곳에서 키울걸 그랬습니다 커피가 익어가는중빨갛게 잘익었습니다길쭉한 사과처럼 생겼습니다수확16년도 10월에 시작했으니 여기까지 딱 7년 걸렸습니다 건조이제 분해를 시작합니다힘들게 껍질을 제거해줍니다열매 5알에서 반알씩 총 10알이 나옵니다속껍질을 제거해줍니다 10알중 5알만 살아남았습니다 수율이 5할이 약간 넘습니다 쌀알과 비교전문 로스팅 기구가 없으니 후라이팬에 볶아줍니다들들들들볶는동안 제 커여운 고양이를 봐주시기 바랍니다볶기가 완료되었습니다 그럴싸한 커피냄새가 납니,기쁨,dcinside,0.6
닌텐도 DS로 원시고대 Wii U 만들기 시리즈  도박사의 닌텐도 개조 공방   닌텐도 DS Lite 마개조   닌텐도 WiiU 패드로 윈도우 돌아가는 게임기 만들기   슈퍼NES모양 닌텐도 스위치 도킹스테이션   만드러봤다 닌텐도 DS갤러리에서 DS Lite 마개조로 힛갤 보낸지 어느새 7년이 넘었음그때 만든거 아직도 갖고 있는데  요즘 쓸만한 키트들이 많이 나와서 새로 만들어 보기로 했음당시에 개조했던것들 요약하자면  충전단자 개조  오버클럭  게임패드 연결  LED개조가 있었음여기에서 충전단자는 요즘 시대에 맞게 타입C로 바꾸고  나머지는 새 키트 공간때문에 어쩔수 없이 포기하게 됨중요도에 따라 순서를 조절하였기에 다른게 진행되어 있는 모습이 사진상으로 보일수도 있음   1  충전단자 개조 요즘 시대에 맞게 타입C로 개조를 했음먼저 모든 나사를 풀어준다기판에서 보이는 나사들을 다시 풀고 뗄것들을 뗀다메인보드 기판만 남은 상태 충전단자 개조는 아주 간단함  기존에 있는 충전단자에,분노,dcinside,0.6
"계류맨의 수산코너 조행기(스압,움짤) https   youtu be ds3iedhVZaQ오후 12시수온 17도 햇볕 강하고 피딩타임 지남수량이 많아서 쉽지 않겠다 싶었음미노우 착수하자마자 입질하지만 킹겨니였죠  한달만에 하니까 낚스 감각 다 뒤졌음다행히 선객이 없던거 같다발자국 안보여서 마음이 편 안하반기는 맨날 낚시가면 수량 터져서 고생만 하는듯여름최강 은도끼 반응없다금도끼 입갤금도끼도 안나오는데스쇠도끼 입갤피딩지남 햇빛이 강함 날벌레 보임이러면 스푼 스피너 잘먹힌다여기 무조건 있습니다 혼잣말 조지는중그치만 갈겨니였죠  역시 낚튜브 하꼬련www뎃  거봐 있다니까ㄹㅇㅋㅋ돌 밑에 숨어있다가 슥 하고 때림이번에는 스피너 던지니까 꺽지들 환장함마 이게 바로 계류낚스다산천어도 스피너는 잘때림사이즈가 아쉬웠는데다시보니 선녀산천어 있을거 같은데 반응이 없다갈겨니 꺽지 니들 분량은 끝났어 그만 쫓아와햇빛 없으니까 스피너 거름ㅅㄱ가을패턴 산천어 입갤여름하고 가을은 포인트 입질 패턴 자체가 다름당근",기쁨,dcinside,0.6
